vacancy_id,name,salary_from,salary_to,salary_currency,experience,schedule,employment,area,employer_name,professional_roles,key_skills,published_at,url,search_query
125604751,Ведущий инженер-технолог по материалам,,,,between3And6,fullDay,full,Санкт-Петербург,Турбинные технологии ААЭМ,Технолог,,2026-02-09T12:30:36+0300,https://hh.ru/vacancy/125604751,материаловедение
128430298,Главный технолог,,,,moreThan6,fullDay,full,Новосибирск,ГК ТОФС,Технолог,,2026-02-09T17:42:13+0300,https://hh.ru/vacancy/128430298,материаловедение
130293483,Сервисный инженер,132500,,RUR,between1And3,fullDay,full,Санкт-Петербург,Экросхим,"Сервисный инженер, инженер-механик",,2026-02-09T16:11:54+0300,https://hh.ru/vacancy/130293483,материаловедение
129528794,Инженер-конструктор,100000,,RUR,between1And3,fullDay,full,Санкт-Петербург,Армтехномет,Технолог,"Компас-3D,Техническая документация,Технологии машиностроения и приборостроения,Выбор технологической оснастки,Чтение чертежей,ЕСКД,ЕСТД",2026-02-09T15:59:56+0300,https://hh.ru/vacancy/129528794,материаловедение
127419316,Инженер-конструктор 3 категории,127000,,RUR,noExperience,fullDay,full,Воронеж,"Алабуга, ОЭЗ ППТ","Инженер-конструктор, инженер-проектировщик","MS Office,Компас 3D,Solid Works",2026-02-09T19:25:38+0300,https://hh.ru/vacancy/127419316,материаловедение
127467248,Инженер-конструктор 3 категории,127000,,RUR,between1And3,fullDay,full,Казань,"Алабуга, ОЭЗ ППТ","Инженер-конструктор, инженер-проектировщик","MS Office,Компас 3D,Solid Works",2026-02-09T19:25:36+0300,https://hh.ru/vacancy/127467248,материаловедение
127467249,Инженер-конструктор 3 категории,127000,,RUR,between1And3,fullDay,full,Екатеринбург,"Алабуга, ОЭЗ ППТ","Инженер-конструктор, инженер-проектировщик","MS Office,Компас 3D,Solid Works",2026-02-09T19:25:36+0300,https://hh.ru/vacancy/127467249,материаловедение
130228790,Инженер (химик-материаловед),100000,,RUR,between1And3,fullDay,full,Москва,Композит,Технолог,"Ведение документации,Техническая документация,Лабораторная работа,Точность и внимательность к деталям,Документальное сопровождение,Контроль качества,Технический контроль производства,Нормативно-техническая документация",2026-02-09T09:05:41+0300,https://hh.ru/vacancy/130228790,материаловедение
130206131,Инженер-конструктор по нестандартному оборудованию,130000,,RUR,between3And6,fullDay,full,Санкт-Петербург,СМК,"Инженер-конструктор, инженер-проектировщик",,2026-02-08T13:43:45+0300,https://hh.ru/vacancy/130206131,материаловедение
130249420,Менеджер по продажам,100000,,RUR,between3And6,remote,full,Уфа,Р-Сталь,"Менеджер по продажам, менеджер по работе с клиентами","CRM,Корпоративные продажи,Развитие продаж,Холодные продажи,Активные продажи",2026-02-09T16:32:51+0300,https://hh.ru/vacancy/130249420,материаловедение
129284994,Инженер R&D,,,,between3And6,fullDay,full,Владимир,Сен-Гобен,Технолог,,2026-02-09T09:47:10+0300,https://hh.ru/vacancy/129284994,материаловедение
129584194,Инженер-конструктор,,,,between1And3,fullDay,full,Петрозаводск,"АЭМ-технологии, Инжиниринговая компания","Инженер-конструктор, инженер-проектировщик","ANSYS,Компас-3D,SolidWorks,Документальное сопровождение",2026-02-09T11:18:04+0300,https://hh.ru/vacancy/129584194,материаловедение
130228464,Инженер (материаловед),100000,,RUR,between1And3,fullDay,full,Москва,Композит,Инженер ПНР,"Ведение документации,Умение работать в коллективе,Разработка технической документации,Техническое обслуживание оборудования,Компас 3D",2026-02-09T08:59:58+0300,https://hh.ru/vacancy/130228464,материаловедение
129326826,Кладовщик,80000,90000,RUR,between1And3,fullDay,full,Владивосток,Торговый Дом Планета Безопасности,Кладовщик,"Работа с ТМЦ,Материаловедение,Инвентаризация,Складской Учет,Организация складского хозяйства,Управление складскими запасами,опыт работы в 1 С",2026-02-09T06:30:43+0300,https://hh.ru/vacancy/129326826,материаловедение
130105678,Директор производства медицинских изделий,80000,200000,RUR,between1And3,fullDay,part,Москва,Erwin,Технический директор (CTO),"Управление производством,Бизнес-планирование,Управление рисками",2026-02-08T20:48:48+0300,https://hh.ru/vacancy/130105678,материаловедение
130294192,Инженер - технолог,70000,75000,RUR,between1And3,fullDay,full,Ульяновск,Филиал областного государственного казенного учреждения Кадровый центр Ульяновской области в Заволжском районе города Ульяновска,Другое,,2026-02-09T16:27:16+0300,https://hh.ru/vacancy/130294192,материаловедение
129583505,Инженер-технолог,,,,between1And3,fullDay,full,Петрозаводск,"АЭМ-технологии, Инжиниринговая компания",Технолог,"Обучение и развитие,1С: Документооборот,Многозадачность,MS Internet",2026-02-09T11:11:13+0300,https://hh.ru/vacancy/129583505,материаловедение
