skill_name,vacancy_count,avg_salary_from,avg_salary_to,salary_currency,search_query
Организация учебного процесса,14,68400,,RUR,"аддитивные технологии,информатика и вычислительная техника,материаловедение,электроника"
Solid Works,14,126136,175000,RUR,"аддитивные технологии,информатика и вычислительная техника,материаловедение,металлургия"
Умение работать в команде,14,83545,86138,RUR,"DevOps,аддитивные технологии,горное дело,информатика и вычислительная техника,материаловедение,металлургия,электроника,энергетика"
Станки ЧПУ,14,89583,145650,RUR,"материаловедение,металлургия,электроника"
Ориентация на результат,14,125167,190953,RUR,"DevOps,горное дело,материаловедение,металлургия,экология промышленная,электроника,энергетика"
Работа с базами данных,14,86580,164286,RUR,"DevOps,data scientist,горное дело,информатика и вычислительная техника,металлургия,экология промышленная"
Redis,14,150000,216667,RUR,"DevOps,data scientist,machine learning инженер,нанотехнологии"
Apache Kafka,14,190000,255000,RUR,"DevOps,data scientist,machine learning инженер,информатика и вычислительная техника,нанотехнологии"
ELK,14,170700,331000,RUR,"DevOps,горное дело"
Математическая статистика,14,120000,188333,RUR,"data scientist,machine learning инженер,информатика и вычислительная техника"
Эксплуатация электрооборудования,14,143091,152333,RUR,"электроника,энергетика"
Знание экологического законодательства,14,72700,105000,RUR,экология промышленная
Сварочные работы,13,120640,157887,RUR,"материаловедение,электроника"
Проектно-конструкторская деятельность,13,100333,137000,RUR,"аддитивные технологии,материаловедение,экология промышленная"
3D печать,13,96500,122250,RUR,"аддитивные технологии,материаловедение"
Базы данных,13,130000,64000,RUR,"DevOps,информатика и вычислительная техника"
Apache Airflow,13,108750,,RUR,"DevOps,data scientist,machine learning инженер,информатика и вычислительная техника"
Вводный инструктаж по охране труда и технике безопасности,13,88786,96117,USD,экология промышленная
Helm,13,162500,316667,RUR,DevOps
Полуавтоматическая сварка,12,110640,154713,RUR,материаловедение
Высшее образование,12,113333,141250,RUR,"DevOps,горное дело,информатика и вычислительная техника,материаловедение,металлургия,нанотехнологии,экология промышленная,энергетика"
Сопровождение клиентов,12,123250,216111,RUR,"аддитивные технологии,материаловедение,металлургия,электроника,энергетика"
Ввод оборудования в эксплуатацию,12,142500,149900,RUR,"информатика и вычислительная техника,материаловедение,металлургия,электроника,энергетика"
Производственное планирование,12,176667,135000,RUR,"горное дело,материаловедение,металлургия,нанотехнологии,электроника,энергетика"
