ps_code,name,area,activity_type,reg_number,order_date,responsible_org
40.037,Специалист по разработке технологии производства приборов квантовой электроники и фотоники,Сквозные виды профессиональной деятельности,"Разработка технологии производства полупроводниковых элементов, приборов, включая фоточувствительные и оптоэлектронные",174,2014-07-10,Совет по профессиональным квалификациям в сфере нанотехнологий и микроэлектроники
40.038,Специалист в области производства специально легированных оптических волокон,Сквозные виды профессиональной деятельности,"Производство легированных редкоземельными ионами оптических волокон, включающее в себя производство заготовок, вытяжку активного оптического волокна и его тестирование",175,2014-07-10,Совет по профессиональным квалификациям в сфере нанотехнологий и микроэлектроники
40.039,Специалист в области разработки полупроводниковых лазеров,Сквозные виды профессиональной деятельности,Разработка полупроводниковых лазеров,176,2014-07-10,Совет по профессиональным квалификациям в сфере нанотехнологий и микроэлектроники
40.040,Инженер в области разработки цифровых библиотек стандартных ячеек и сложнофункциональных блоков,Сквозные виды профессиональной деятельности,"Проектирование устройств, приборов и систем электронной техники с учетом заданных требований; разработка проектно-конструкторской документации в соответствии с методическими и нормативными требованиям",177,2014-07-10,Совет по профессиональным квалификациям в сфере нанотехнологий и микроэлектроники
40.041,Специалист в области производства волоконно-оптических кабелей,Сквозные виды профессиональной деятельности,Разработка конструкции и технологии производства волоконно-оптических кабелей,178,2014-07-10,Совет по профессиональным квалификациям в сфере нанотехнологий и микроэлектроники
40.042,Специалист технического обеспечения процесса производства полимерных наноструктурированных пленок,Сквозные виды профессиональной деятельности,Техническое обеспечение производства полимерных наноструктурированных пленок,179,2014-07-10,Совет по профессиональным квалификациям в сфере нанотехнологий и микроэлектроники
40.043,Специалист по внедрению и управлению производством полимерных наноструктурированных пленок,Сквозные виды профессиональной деятельности,Технологическое и организационно-управленческое сопровождение производства полимерных наноструктурированных пленок,180,2014-07-10,Совет по профессиональным квалификациям в сфере нанотехнологий и микроэлектроники
40.044,Специалист по научно-техническим разработкам и испытаниям полимерных наноструктурированных пленок,Сквозные виды профессиональной деятельности,Разработка и испытание полимерных наноструктурированных пленок,181,2014-07-10,Совет по профессиональным квалификациям в сфере нанотехнологий и микроэлектроники
40.045,Инженер-проектировщик фотошаблонов для производства наносистем (включая наносенсорику и интегральные схемы),Сквозные виды профессиональной деятельности,Проектирование фотошаблонов и подготовка управляющей информации для их изготовления,182,2014-07-10,Совет по профессиональным квалификациям в сфере нанотехнологий и микроэлектроники
40.046,Специалист производства наноструктурированных сырьевых керамических масс,Сквозные виды профессиональной деятельности,Производство наноструктурированных сырьевых керамических масс,183,2014-07-10,Совет по профессиональным квалификациям в сфере нанотехнологий и микроэлектроники
40.047,Штамповщик,Сквозные виды профессиональной деятельности,"Холодная штамповка листоштампованных изделий из сталей, сплавов и неметаллических материалов на прессах",184,2014-09-08,Совет по профессиональным квалификациям в машиностроении
40.048,Слесарь - электрик,Сквозные виды профессиональной деятельности,Техническое обслуживание и ремонт цехового электрооборудования и электроустановок,185,2014-09-17,Совет по профессиональным квалификациям в машиностроении
40.049,Специалист по логистике на транспорте,Сквозные виды профессиональной деятельности,Логистическая деятельность по перевозке грузов в цепи поставок,186,2014-09-08,nan
40.050,Литейщик металлов и сплавов,Сквозные виды профессиональной деятельности,Заливка литейных форм расплавом металлов и сплавов,187,2014-09-08,Совет по профессиональным квалификациям в машиностроении
40.051,"Рабочий по нанесению защитных покрытий (эмалированию, металлизации и окрашиванию)",Сквозные виды профессиональной деятельности,"Нанесение защитных покрытий: лакокрасочных, эмалевых и металлических покрытий",188,2014-09-08,ФГБУ «Всероссийский научно-исследовательский институт труда»
40.052,Специалист по проектированию технологической оснастки механосборочного производства,Сквозные виды профессиональной деятельности,Проектирование технологической оснастки механосборочного производства,189,2014-09-25,Совет по профессиональным квалификациям в машиностроении
